Date,China,Hong Kong,Macau,Taipei,Japan,South Korea,Viet Nam,Singapore,Australia,Malaysia,Cambodia,Philippines,Thailand,Nepal,Sri Lanka,India,USA,Canada,France,Finland,Germany,Italy,Russia,Spain,Sweden,UK,Belgium,UAE
1/21/2020,278,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2020,309,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2020,568,1,1,1,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1/24/2020,825,2,2,1,1,2,2,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1/25/2020,1287,5,2,3,3,2,2,3,3,0,0,0,4,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0
1/26/2020,1975,5,2,3,3,2,2,4,4,3,0,0,5,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0
1/27/2020,2744,8,5,4,4,4,2,4,4,4,0,0,5,1,0,0,5,1,3,0,0,0,0,0,0,0,0,0
1/28/2020,4515,8,7,7,6,4,2,7,5,4,1,0,14,1,1,0,5,2,3,0,1,0,0,0,0,0,0,0
1/29/2020,5974,8,7,8,7,4,2,7,7,4,1,0,14,1,1,0,5,3,4,0,4,0,0,0,0,0,0,4
1/30/2020,7736,10,7,8,11,4,2,10,7,7,1,1,14,1,1,1,5,3,5,1,4,0,0,0,0,0,0,4
1/31/2020,9692,12,7,9,14,11,5,13,9,8,1,1,14,1,1,1,6,3,6,1,5,2,0,0,0,0,0,4
2/1/2020,11821,13,7,10,17,12,6,16,12,8,1,1,19,1,1,1,7,4,6,1,7,2,2,1,1,2,0,4
2/2/2020,14380,14,7,10,20,15,7,18,12,8,1,2,19,1,1,2,8,4,6,1,8,2,2,1,1,2,0,5
2/3/2020,17205,15,8,10,20,15,8,18,12,8,1,2,19,1,1,3,11,4,6,1,10,2,2,1,1,2,0,5
2/4/2020,20438,15,8,10,20,16,9,18,12,10,1,2,19,1,1,3,11,4,6,1,12,2,2,1,1,2,0,5
2/5/2020,24324,18,10,11,33,18,10,24,13,10,1,3,25,1,1,3,11,5,6,1,12,2,2,1,1,1,1,5
